Month,Vietnam Exporting Volume (Tons),Vietnam Rice export Value (Mill. USD),Exchange Rate (thousand VND/Dollar),Hour of Sunlight (Hour),Average Temperature (Celcius),Average Moisture ( ),Average Rainfall (mm),Thailand (Value),Thailand (Volume)
Jul-11,700,340,19495,195.01,27.6,80.2,226.2066667,769293,345
Aug-11,700,350,19495,202.08,27.3,81.26666667,199.9333333,630856,285
Sep-11,750,400,20875,128.23,26.3,83.86666667,387.9266667,624142,295
Oct-11,550,300,20880,129.73,24.47333333,83.46666667,324.0933333,447879,218
Nov-11,450,260,20570,147.71,23.42666667,81.93333333,237.12,339301,177
Dec-11,400,240,20500,90.15,19.6,78.33333333,107.1286667,303041,163
Feb-12,500,290,20580,127.45,19.84666667,83,30.76666667,439252,224
Mar-12,600,315,20830,142.85,22.33333333,80.6,46.8,460270,231
Apr-12,700,345,20825,198.81,25.69333333,79.8,118.3466667,470549,237
May-12,850,390,21000,203.14,27.44,79.53333333,209.74,543116,275
Jun-12,750,350,21000,151.45,27.92666667,78.13333333,172.92,375412,194
Jul-12,800,367,21031,183.68,27.36666667,80.26666667,286.4466667,366688,193
Aug-12,774,335,21000,198.4,27.36666667,79.73333333,236.8333333,334318,172
Sep-12,643,270,20830,141.83,25.77333333,83.73333333,352.54,332415,174
Oct-12,681,323,20820,169.71,25.14666667,80.73333333,179.6666667,533155,271
Nov-12,548,281,20830,156.33,23.88666667,83.33333333,149.7466667,493061,246
Dec-12,603,307,20820,139.11,21.47333333,80.93333333,51.442,350658,173
Jan-13,534,259,20810,113.25,18.98,82.2,34.83333333,580982,350
Feb-13,233,107,20930,144.18,21.97333333,82.06666667,24.54666667,427109,263
Mar-13,571,252,20925,186.17,24.22,79.4,42.302,531803,314
Apr-13,807,340,20810,160.17,25.39333333,81.33333333,85.57333333,445353,255
May-13,641,279,20990,219.35,27.39333333,79.93333333,163.1066667,526790,302
Jun-13,649,289,21170,179.93,27.45333333,79.33333333,221.92,427058,252
Jul-13,633,293,21140,159.27,26.79333333,83.73333333,294.8066667,675064,373
Aug-13,463,202,21120,162.83,26.97333333,82.4,279.2933333,522954,310
Sep-13,471,214,21112,125.56,25.72666667,84.93333333,371.9733333,501637,280
Oct-13,526,234,21080,150.21,24.33333333,81.26666667,213.0266667,762197,387
Nov-13,441,209,21090,117.85,23.02666667,82,262.0133333,519700,303
Dec-13,396,204,21075,140.39,18.52,77.46666667,47.91333333,691973,364
Jan-14,365,174,21035,164.97,18.68,77.06666667,15.30266667,696558,347
Feb-14,421,194,21080,153.29,19.75333333,80.13333333,18.49133333,709833,342
Mar-14,623,280,21075,162.94,22.5,82.26666667,37.242,799534,364
Apr-14,646,289,21060,165.42,25.79333333,82.66666667,116.78,737648,330
May-14,664,292,21135,235.25,27.74666667,78.46666667,116.9533333,881212,387
Jun-14,539,243,21300,162.37,28.01333333,79.8,198.6133333,854585,381
Jul-14,579,266,21200,172.77,27.44666667,81.66666667,275.9,941691,412
Aug-14,647,296,21170,178.61,27.08,81.73333333,275.0533333,975023,426
Sep-14,495,243,21190,186.81,26.82,82,205.2533333,960043,420
Oct-14,597,289,21255,168.03,25.04666667,81.6,283.2866667,1214125,532
Nov-14,449,224,21300,151.85,23.44,83.13333333,125.8333333,721955,347
Dec-14,305,144,21370,99.23,19.73333333,80.06666667,147.0093333,1477154,628
Jan-15,316,149,21267,170.23,19.15333333,79.4,40.28,608504,308
Feb-15,170,74,21320,152.05,20.70666667,80.86666667,24.52266667,723151,336
Mar-15,641,269,21520,172.19,23.48,81.66666667,60.702,785892,364
Apr-15,720,313,21550,202.93,25.18666667,78.6,61.24,700011,325
May-15,554,238,21785,246.79,28.49333333,76.93333333,120.2733333,945597,398
Jun-15,584,242,21802,210.05,28.25333333,78.26666667,212.9333333,685768,302
Jul-15,604,253,21813,153.33,27.6,78.8,251.3933333,734947,330
Aug-15,452,198,22480,211.03,27.56,81.46666667,205.1333333,696920,302
Sep-15,466,190,22471,174.94,26.92,83.53333333,281.6466667,720554,333
Oct-15,855,350,22309,188.71,25.41333333,81.33333333,194.78,1203793,490
Nov-15,699,297,22468,161.71,24.40666667,83.46666667,243.2466667,763418,347
Dec-15,521,221,22480,130.57,20.99333333,82.6,111.5266667,1218208,532
Jan-16,491.422,217.702941,22198,140.62,20.28666667,84.13333333,70.476,1025192,443
Feb-16,437.647,185.676453,22277,148.79,19.12666667,76.53333333,18.00666667,835862,384
Mar-16,595.192,266.600493,22264,157.79,22.15333333,80.6,20.92866667,990864,426
Apr-16,453.658,212.531266,22244,194.46,26.01333333,80.66666667,103.9273333,701934,308
May-16,303.634,143.048596,22366,201.58,27.59333333,79.66666667,159.9266667,727734,330
Jun-16,323.63,149.213827,22281,213.07,28.26,78.46666667,149.5733333,713577,330
Jul-16,281.032,125.121321,22273,213.57,27.87333333,80.53333333,216.0866667,443736,224
Aug-16,417.924,185.450848,22300,177.15,27.64,81.73333333,272.7666667,622630,291
Sep-16,481.555,215.633252,22281,158.91,26.85333333,83.13333333,343.12,792162,342
Oct-16,340.89,154.803993,22284,147.78,25.90666667,82.93333333,271.02,849738,361
Nov-16,318.007,140.742227,22640,142.65,23.50666667,82.4,203.5133333,1008622,445
Dec-16,364.718,162.452055,22770,104.07,21.44666667,81.06666667,309.5526667,1171238,493
Jan-17,334.249,142.97791,22760,110.17,20.99333333,82.26666667,98.29333333,823401,389
Feb-17,399.197,169.105695,22572.5,136.67,20.85333333,78.66666667,44.99333333,914773,392
Mar-17,503.413,226.67423,22785,162.53,22.94666667,81.6,62.42666667,955448,398
Apr-17,533.574,249.554525,22761,177.11,25.07333333,80.8,82.77333333,936597,370
May-17,558.898,248.79883,22750,193.4,26.77333333,81,152.08,754862,330
Jun-17,534.243,236.295199,22700,192.26,28.05333333,80,209.2133333,1037782,420
Jul-17,580.588,246.901951,22735,149.02,27.00666667,83.46666667,349.5466667,986839,426
Aug-17,646.239,280.839132,22727,176.02,27.36,83.4,301.2666667,985877,417
Sep-17,496.913,227.688169,22729,184.59,27.25333333,83.66666667,230.1933333,840362,350
Oct-17,483.029,245.810618,22726,122.23,24.91333333,83.46666667,327.76,750093,336
Nov-17,367.615,176.946999,22711.5,107.41,22.82,83.2,311.3466667,1488050,619
Dec-17,380.64,181.885663,22717.5,110.35,19.9,80,101.7133333,1154219,502
Jan-18,524,249,22709.5,96.85,20.16666667,82.6,40.42,966809,437
Feb-18,397,197,22710.5,136.45,19.58,77.13333333,22.10666667,953030,417
Mar-18,524,261,22757.5,177.56,22.93333333,80.2,36.9,865559,384
Apr-18,670,341,22788.5,185.92,24.64666667,80.53333333,92.43333333,907717,395
May-18,452,347,22763.5,235.44,27.46,80.26666667,144.22,744221,356
Jun-18,604,317,22792,154.13,27.7,79.86666667,219.6066667,902230,412
Jul-18,382,195,22965,153.75,27.46,81.66666667,346.42,836380,424
Aug-18,441,209,23291.5,144.79,27.23333333,82,252.8466667,976689,415
Sep-18,443,212,23302.5,181.61,26.75333333,81.93333333,240.5733333,982338,350
Oct-18,264,136,23324,188.22,25.1,80.46666667,186.8466667,927526,333
Nov-18,496,241,23345.5,166.33,23.73333333,81.6,186.6333333,1028114,624
Jan-19,373,167,23193.5,122.03,20.23333333,82.26666667,97.90666667,951750,441
Feb-19,399,169,23196.5,188.81,23.04666667,79.26666667,14.504,687572,328
Mar-19,658,281,23198.5,172.91,24.05333333,81,32.18466667,769869,386
Apr-19,618,255,23197,210.49,27.00666667,79.06666667,85.746,702927,396
May-19,739,314,23265,202.53,27.68,79.8,153.08,667276,358
Jun-19,625,275,23415.5,206.3,28.94666667,77.66666667,189.4666667,578159,414
Jul-19,651,285,23316,178.58,28.28,79,171.0933333,548714,269
Aug-19,591,265,23205,175.2,27.71333333,80.93333333,265.9733333,448476,236
Sep-19,586,251,23186,170.45,26.53333333,80.33333333,284.74,576674,272
Oct-19,499,228,23201,184.28,25.38666667,82,300.7666667,606918,293
Jan-20,560,270,23171,164.38,21.53333333,80.26666667,48.09266667,548957,262
Feb-20,527,150,23255,158.95,21.55333333,78.66666667,22.87333333,400206,230
Mar-20,900,480,23239,182.02,24.55333333,80.46666667,57.37533333,520501,307
May-20,952,600,23475,241.99,28.40666667,78.53333333,103.46,463775,312
Jun-20,450,227,23281.5,218.49,28.82666667,77.53333333,140.2333333,344061,218
Aug-20,950,553,23180,175.18,27.61333333,82.33333333,310.6333333,356554,206
Sep-20,800,495,23174.5,173.83,27.41333333,82.66666667,283.4,390258,214
Jan-21,347.774,191.882061,23100,119.77,18.48666667,77.06666667,25.956,421477,224
Feb-21,308.271,167.575374,23037.5,166.39,21.12,79.13333333,41.98,407800,221
Mar-21,536.279,289.181957,23015,169.87,23.65333333,80.66666667,31.49533333,302668,180
Apr-21,780.724,423.476221,23075,174.08,25.68,82.33333333,123.6533333,327037,183
May-21,625.398,338.351359,23064,242.69,27.96,79.66666667,134.8666667,319278,178
Jun-21,429.307,237.724257,23046.5,203.52,28.55333333,77.06666667,171.1066667,389331,204
Jul-21,464.56,240.022738,23025,199.95,28.02666667,79.2,222.16,419578,214
Aug-21,493.771,240.621381,22955,209.34,28.09333333,78.93333333,216.4733333,591717,279
Sep-21,587.132,290.236864,22765,163.38,26.47333333,84.4,374.2533333,638397,312
Oct-21,609.896,318.123102,22760.5,114.09,24.50666667,84.6,450.58,773823,350
Nov-21,564.952,295.853195,22753,102.63,22.71333333,82.53333333,268.2666667,755492,366
Dec-21,489.247,252.580024,22690,128.61,20.32666667,79.2,104.196,729138,359
Jan-22,505.741,246.024471,22645,134.8,20.61333333,82.66666667,52.72666667,459773,229
Feb-22,468.815,223.236351,22805,103.69,19.42,81.93333333,71.43533333,635919,298
Mar-22,528.375,261.500779,22838,149.77,23.75333333,82.8,95.56,646608,318
Apr-22,555.881,276.04589,22962,175.07,24.53333333,80,163,548636,286
May-22,709.964,347.032474,23185,148.25,26.04666667,81.8,273.0266667,450973,240
Jun-22,724.778,353.586911,23255,204.78,28.09333333,78.93333333,176.7266667,763331,376
Jul-22,582.447,285.180792,23335,201.12,27.84,80.86666667,234.9666667,578177,292
Aug-22,717.293,339.259336,23450,184.36,27.22666667,82.33333333,303.6866667,687118,359
Sep-22,580.478,273.747566,23855,150.55,26.49333333,83.26666667,412.2333333,636731,333
Oct-22,710.997,339.842876,24840,153.03,24.58666667,80,373.9266667,794224,401
Nov-22,587.049,289.417181,24630,156.14,24.4,82.33333333,179.4733333,706270,411
Dec-22,433.916,219.889989,23610,108.17,19.71333333,77.26666667,148.56,785785,428
